,POLICY_BEGIN_MONTH,POLICY_END_MONTH,POLICY_SALES_CHANNEL,POLICY_SALES_CHANNEL_GROUP,POLICY_BRANCH,POLICY_MIN_AGE,POLICY_MIN_DRIVING_EXPERIENCE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_ENGINE_POWER,VEHICLE_IN_CREDIT,VEHICLE_SUM_INSURED,POLICY_INTERMEDIARY,INSURER_GENDER,POLICY_CLM_N,POLICY_CLM_GLT_N,POLICY_PRV_CLM_N,POLICY_PRV_CLM_GLT_N,CLIENT_HAS_DAGO,CLIENT_HAS_OSAGO,POLICY_COURT_SIGN,CLAIM_AVG_ACC_ST_PRD,POLICY_HAS_COMPLAINTS,POLICY_YEARS_RENEWED_N,POLICY_DEDUCT_VALUE,CLIENT_REGISTRATION_REGION,POLICY_PRICE_CHANGE
9,2,2,53,6,Санкт-Петербург,56,37,Skoda,Octavia,102.0,0,480930.0,224,M,0,0,0,0,0,1,0,0.0,0,1,15000.0,Санкт-Петербург,-0.04
11,1,1,53,6,Москва,53,35,Hyundai,Santa Fe,197.0,1,1403020.0,1221,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,0.06
12,1,1,54,6,Москва,30,8,Volkswagen,Tiguan,170.0,0,1063335.0,352,F,1S,1S,0,0,1,1,0,2.0,0,1,0.0,Москва,-0.29
21,1,1,52,6,Санкт-Петербург,61,25,Volkswagen,Jetta,122.0,0,578000.0,515,M,2,2,0,0,0,0,0,0.0,0,3,0.0,Ленинградская,0.43
36,12,12,1,4,Санкт-Петербург,36,18,Peugeot,407,140.0,0,466778.0,55,M,0,0,0,0,1,1,0,0.0,0,7,0.0,Санкт-Петербург,-0.01
37,12,12,52,6,Санкт-Петербург,53,12,Volkswagen,Caddy,86.0,0,781000.0,330,M,1L,1L,N,N,0,1,0,1.0,0,0,0.0,Санкт-Петербург,0.23
40,11,11,52,6,Москва,41,20,Kia,Optima,180.0,1,1229900.0,1372,F,2,2,N,N,0,0,0,48.0,0,0,0.0,Московская,0.26
43,1,1,53,6,Санкт-Петербург,46,28,Nissan,Qashqai,141.0,0,774000.0,1346,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,-0.35
44,12,12,37,1,Санкт-Петербург,27,6,ГАЗ,Siber,143.0,0,280138.0,1266,M,2,1L,1L,1L,0,1,0,18.0,0,3,0.0,Санкт-Петербург,0.05
53,3,3,50,5,Санкт-Петербург,37,16,Ford,Focus,99.0,0,349000.0,N,M,0,0,0,0,0,0,0,0.0,0,5,10000.0,Санкт-Петербург,0.2
61,8,8,29,1,Санкт-Петербург,42,18,Dodge,Grand Caravan,215.0,0,300571.0,374,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,-1.0
69,3,3,53,6,Москва,49,14,Kia,Sportage,150.0,1,794290.0,1221,F,0,0,0,0,0,0,0,0.0,0,2,0.0,Москва,0.04
70,8,8,53,6,Санкт-Петербург,65,9,Skoda,Fabia,60.0,0,289404.0,1369,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,0.0
72,9,8,29,1,Санкт-Петербург,53,28,Hyundai,Solaris,123.0,0,448540.0,341,M,0,0,0,0,1,0,0,0.0,0,1,25000.0,Ленинградская,0.0
79,2,2,55,6,Москва,37,13,Mitsubishi,ASX,140.0,0,790472.0,1096,M,1L,1L,0,0,0,1,0,0.0,0,1,0.0,Москва,0.04
84,2,2,53,6,Санкт-Петербург,42,18,Porsche,Cayenne,300.0,1,3371492.0,461,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,-0.08
86,2,2,52,6,Санкт-Петербург,56,34,Volkswagen,Passat,152.0,0,708155.0,516,M,1L,1L,0,0,0,0,0,2.0,0,4,0.0,Санкт-Петербург,-0.06
93,2,2,8,4,Санкт-Петербург,55,18,УАЗ,3163 Patriot,128.0,1,749990.0,1366,M,1S,1S,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,-1.0
102,2,2,50,5,Москва,30,12,Mazda,3,150.0,0,418500.0,N,M,0,0,0,0,1,0,0,0.0,0,5,50000.0,Московская,-1.0
107,3,3,53,6,Санкт-Петербург,38,9,Ford,Explorer,294.0,1,1589653.0,381,F,0,0,0,0,0,1,0,0.0,0,1,0.0,Ленинградская,0.04
114,3,3,52,6,Санкт-Петербург,27,9,Kia,Cerato,150.0,1,540000.0,245,F,1S,1S,N,N,0,1,0,10.0,0,0,15000.0,Санкт-Петербург,-1.0
115,3,3,52,6,Москва,27,6,Toyota,RAV4,146.0,0,981750.0,910,M,2,2,1S,0,0,0,0,0.0,0,1,0.0,Московская,-0.2
117,3,3,54,6,Москва,25,5,BMW,X1,184.0,0,1049600.0,N,F,0,0,1L,1L,0,0,0,0.0,0,1,30000.0,Московская,-0.28
124,2,2,59,3,Санкт-Петербург,42,22,Nissan,Juke,190.0,0,664864.0,437,F,0,0,0,0,0,1,0,0.0,0,3,10000.0,Санкт-Петербург,0.05
131,3,3,50,5,Санкт-Петербург,46,7,Honda,CR-V,150.0,1,963500.0,N,F,0,0,0,0,1,1,0,0.0,0,3,0.0,Санкт-Петербург,0.0
